vae.decoder.blocks.9.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.decoder.blocks.9.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.9.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.decoder.blocks.9.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.9.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.9.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.blocks.9.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.norm_out.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.norm_out.w	F32	ne=[768]	torch=[768]	3072
vae.decoder.proj_out.b	F32	ne=[1]	torch=[1]	4
vae.decoder.proj_out.w	F16	ne=[768, 1]	torch=[1, 768]	1536
vae.decoder.proj_query.b	F32	ne=[768]	torch=[768]	3072
vae.decoder.proj_query.w	F32	ne=[54, 768]	torch=[768, 54]	165888
vae.encoder.blocks.0.attn2.norm_cross.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.0.attn2.norm_cross.w	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.0.attn2.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.0.attn2.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.0.attn2.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.0.attn2.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.0.attn2.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.0.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.encoder.blocks.0.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.encoder.blocks.0.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.0.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.encoder.blocks.0.norm2.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.0.norm2.w	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.0.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.0.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.1.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.1.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.1.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.1.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.1.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.1.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.encoder.blocks.1.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.encoder.blocks.1.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.1.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.encoder.blocks.1.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.1.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.1.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.1.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.2.attn1.to_k.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.2.attn1.to_out.0.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.2.attn1.to_out.0.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.2.attn1.to_q.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.2.attn1.to_v.w	F16	ne=[768, 768]	torch=[768, 768]	1179648
vae.encoder.blocks.2.ff.net.0.proj.b	F32	ne=[3072]	torch=[3072]	12288
vae.encoder.blocks.2.ff.net.0.proj.w	F16	ne=[768, 3072]	torch=[3072, 768]	4718592
vae.encoder.blocks.2.ff.net.2.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.2.ff.net.2.w	F16	ne=[3072, 768]	torch=[768, 3072]	4718592
vae.encoder.blocks.2.norm1.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.2.norm1.w	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.2.norm3.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.blocks.2.norm3.w	F32	ne=[768]	torch=[768]	3072
vae.encoder.learned_queries	F16	ne=[768, 32]	torch=[32, 768]	49152
vae.encoder.norm_out.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.norm_out.w	F32	ne=[768]	torch=[768]	3072
vae.encoder.proj_in.b	F32	ne=[768]	torch=[768]	3072
vae.encoder.proj_in.w	F16	ne=[55, 768]	torch=[768, 55]	84480
vae.post_quant.b	F32	ne=[768]	torch=[768]	3072
vae.post_quant.w	F16	ne=[512, 768]	torch=[768, 512]	786432
vae.quant.b	F32	ne=[512]	torch=[512]	2048
vae.quant.w	F16	ne=[768, 512]	torch=[512, 768]	786432
## type counts (type, tensors, bytes)
F16	109	243225600
F32	143	763928
## name patterns (block index collapsed to #)
vae.FSQ.project_in.b	1
vae.FSQ.project_in.w	1
vae.FSQ.project_out.b	1
vae.FSQ.project_out.w	1
vae.cond_encoder.blocks.#.attn1.to_k.w	2
vae.cond_encoder.blocks.#.attn1.to_out.#.b	2
vae.cond_encoder.blocks.#.attn1.to_out.#.w	2
vae.cond_encoder.blocks.#.attn1.to_q.w	2
vae.cond_encoder.blocks.#.attn1.to_v.w	2
vae.cond_encoder.blocks.#.attn2.norm_cross.b	1
vae.cond_encoder.blocks.#.attn2.norm_cross.w	1
vae.cond_encoder.blocks.#.attn2.to_k.w	1
vae.cond_encoder.blocks.#.attn2.to_out.#.b	1
vae.cond_encoder.blocks.#.attn2.to_out.#.w	1
vae.cond_encoder.blocks.#.attn2.to_q.w	1
vae.cond_encoder.blocks.#.attn2.to_v.w	1
vae.cond_encoder.blocks.#.ff.net.#.b	3
vae.cond_encoder.blocks.#.ff.net.#.proj.b	3
vae.cond_encoder.blocks.#.ff.net.#.proj.w	3
vae.cond_encoder.blocks.#.ff.net.#.w	3
vae.cond_encoder.blocks.#.norm1.b	2
vae.cond_encoder.blocks.#.norm1.w	2
vae.cond_encoder.blocks.#.norm2.b	1
vae.cond_encoder.blocks.#.norm2.w	1
vae.cond_encoder.blocks.#.norm3.b	3
vae.cond_encoder.blocks.#.norm3.w	3
vae.cond_encoder.norm_out.b	1
vae.cond_encoder.norm_out.w	1
vae.cond_encoder.proj_in.b	1
vae.cond_encoder.proj_in.w	1
vae.cond_quant.b	1
vae.cond_quant.w	1
vae.decoder.blocks.#.attn1.to_k.w	10
vae.decoder.blocks.#.attn1.to_out.#.b	10
vae.decoder.blocks.#.attn1.to_out.#.w	10
vae.decoder.blocks.#.attn1.to_q.w	10
vae.decoder.blocks.#.attn1.to_v.w	10
vae.decoder.blocks.#.attn2.norm_cross.b	1
vae.decoder.blocks.#.attn2.norm_cross.w	1
vae.decoder.blocks.#.attn2.to_k.w	1
